datetime,CO,NO2,O3,PM25,TMP,HR,WSP,hora_del_dia,mes,dia_semana,hora_sin,hora_cos,mes_sin,mes_cos
2024-01-01 00:00:00,1.94,0.022,0.023,63.0,12.9,59.0,7.2,0.0,1.0,0,0.0,1.0,0.0,1.0
2024-01-01 01:00:00,1.73,0.024,0.02,63.0,11.6,61.0,8.2,1.0,1.0,0,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-01-01 02:00:00,1.87,0.027,0.015,55.0,11.4,59.0,8.9,2.0,1.0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-01-01 03:00:00,1.54,0.023,0.018,41.0,11.2,58.0,8.9,3.0,1.0,0,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-01-01 04:00:00,1.29,0.018,0.022,29.0,11.4,57.0,8.4,4.0,1.0,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-01 05:00:00,1.17,0.018,0.022,18.0,12.1,54.0,7.7,5.0,1.0,0,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-01-01 06:00:00,1.06,0.017,0.022,18.0,11.5,54.0,8.4,6.0,1.0,0,1.0,6.123233995736766e-17,0.0,1.0
2024-01-01 07:00:00,0.91,0.014,0.024,14.0,14.5,35.0,6.0,7.0,1.0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-01 08:00:00,1.0,0.021,0.015,11.0,13.1,46.0,6.4,8.0,1.0,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2024-01-01 09:00:00,1.09,0.017,0.024,11.0,16.1,57.0,4.2,9.0,1.0,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-01-01 10:00:00,1.32,0.018,0.032,18.0,19.0,34.0,1.5,10.0,1.0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
2024-01-01 11:00:00,1.17,0.013,0.053,17.0,20.0,36.0,3.6,11.0,1.0,0,0.258819045102521,-0.9659258262890682,0.0,1.0
2024-01-01 12:00:00,1.09,0.011,0.056,17.0,20.4,45.0,4.2,12.0,1.0,0,1.2246467991473532e-16,-1.0,0.0,1.0
2024-01-01 13:00:00,1.23,0.011,0.057,12.0,20.9,48.0,5.7,13.0,1.0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-01-01 14:00:00,1.14,0.009,0.053,10.0,21.2,49.0,6.1,14.0,1.0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-01-01 15:00:00,1.02,0.012,0.049,16.0,21.4,49.0,6.9,15.0,1.0,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-01-01 16:00:00,1.09,0.009,0.047,16.0,21.0,51.0,8.9,16.0,1.0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-01-01 17:00:00,1.45,0.011,0.041,7.0,20.0,60.0,8.2,17.0,1.0,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-01 18:00:00,1.29,0.015,0.034,9.0,17.7,71.0,9.5,18.0,1.0,0,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-01-01 19:00:00,1.21,0.012,0.036,13.0,15.5,80.0,8.7,19.0,1.0,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-01-01 20:00:00,0.96,0.005,0.043,8.0,14.6,86.0,6.3,20.0,1.0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-01 21:00:00,0.98,0.006,0.04,6.0,14.1,89.0,5.6,21.0,1.0,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-01-01 22:00:00,0.96,0.005,0.041,9.0,14.1,89.0,6.5,22.0,1.0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-01-01 23:00:00,1.94,0.026,0.013,63.0,13.8,92.0,8.0,23.0,1.0,0,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-01-02 00:00:00,0.93,0.005,0.043,9.0,13.8,94.0,8.3,0.0,1.0,1,0.0,1.0,0.0,1.0
2024-01-02 01:00:00,0.95,0.004,0.039,20.0,13.6,96.0,6.5,1.0,1.0,1,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-01-02 02:00:00,0.95,0.004,0.034,11.0,13.6,96.0,4.3,2.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-01-02 03:00:00,0.96,0.009415932870070776,0.032,7.0,13.5,96.0,3.8,3.0,1.0,1,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-01-02 04:00:00,0.95,0.006,0.031,9.0,13.5,96.0,3.8,4.0,1.0,1,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-02 05:00:00,0.98,0.008,0.029,13.0,13.4,96.0,4.8,5.0,1.0,1,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-01-02 06:00:00,1.06,0.011,0.024,14.0,13.3,98.0,5.5,6.0,1.0,1,1.0,6.123233995736766e-17,0.0,1.0
2024-01-02 07:00:00,1.19,0.016,0.018,16.0,12.9,99.0,4.7,7.0,1.0,1,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-02 08:00:00,1.5,0.022,0.01,17.0,13.1,99.0,4.0,8.0,1.0,1,0.8660254037844387,-0.4999999999999998,0.0,1.0
2024-01-02 09:00:00,1.49,0.022,0.01,23.0,13.0,100.0,3.3,9.0,1.0,1,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-01-02 10:00:00,1.51,0.024,0.009,25.0,12.9,99.0,3.2,10.0,1.0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0
2024-01-02 11:00:00,1.8,0.022,0.007,23.0,13.0,98.0,2.3,11.0,1.0,1,0.258819045102521,-0.9659258262890682,0.0,1.0
2024-01-02 12:00:00,1.78,0.022,0.007,24.0,13.3,96.0,4.6,12.0,1.0,1,1.2246467991473532e-16,-1.0,0.0,1.0
2024-01-02 13:00:00,1.72,0.024,0.009,29.0,14.8,89.0,3.1,13.0,1.0,1,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-01-02 14:00:00,1.77,0.024,0.013,31.0,15.4,87.0,1.1,14.0,1.0,1,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-01-02 15:00:00,1.78,0.026,0.013,37.0,15.8,85.0,0.5,15.0,1.0,1,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-01-02 16:00:00,1.8,0.031,0.01,38.0,15.7,87.0,1.6,16.0,1.0,1,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-01-02 17:00:00,1.94,0.037,0.006,40.0,15.2,88.0,6.1,17.0,1.0,1,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-02 18:00:00,2.16,0.037,0.005,38.0,14.8,90.0,6.5,18.0,1.0,1,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-01-02 19:00:00,2.24,0.037,0.005,40.0,14.5,89.0,6.5,19.0,1.0,1,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-01-02 20:00:00,2.02,0.032,0.005,37.0,14.0,91.0,4.4,20.0,1.0,1,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-02 21:00:00,2.07,0.031,0.006,32.0,14.4,86.0,3.2,21.0,1.0,1,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-01-02 22:00:00,2.0,0.028,0.005,38.0,13.9,88.0,3.5,22.0,1.0,1,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-01-02 23:00:00,0.94,0.005,0.042,4.0,12.9,91.0,4.3,23.0,1.0,1,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-01-03 00:00:00,1.92,0.024,0.006,33.0,14.1,85.0,3.6,0.0,1.0,2,0.0,1.0,0.0,1.0
2024-01-03 01:00:00,1.87,0.021,0.005,35.0,12.4,89.0,5.1,1.0,1.0,2,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-01-03 02:00:00,1.95,0.019,0.006,30.0,13.1,84.0,4.3,2.0,1.0,2,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-01-03 03:00:00,1.79,0.02,0.005,35.0,13.2,83.0,3.6,3.0,1.0,2,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-01-03 04:00:00,1.61,0.02,0.005,48.0,12.4,87.0,0.7,4.0,1.0,2,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-03 05:00:00,1.38,0.02,0.005,43.0,11.9,89.0,1.8,5.0,1.0,2,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-01-03 06:00:00,1.42,0.021,0.010015946772241345,37.0,11.3,93.0,1.6,6.0,1.0,2,1.0,6.123233995736766e-17,0.0,1.0
2024-01-03 07:00:00,1.72,0.021,0.006,39.0,10.6,93.0,3.4,7.0,1.0,2,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-03 08:00:00,2.13,0.022,0.006,34.0,11.1,91.0,1.0,8.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
2024-01-03 09:00:00,1.81,0.022,0.011,33.0,11.2,95.0,1.5,9.0,1.0,2,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-01-03 10:00:00,1.84,0.024,0.018,36.0,12.2,91.0,3.4,10.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
2024-01-03 11:00:00,1.78,0.023,0.029,22.0,13.8,84.0,3.6,11.0,1.0,2,0.258819045102521,-0.9659258262890682,0.0,1.0
2024-01-03 12:00:00,2.34,0.033,0.029,23.0,14.8,79.0,2.2,12.0,1.0,2,1.2246467991473532e-16,-1.0,0.0,1.0
2024-01-03 13:00:00,2.2,0.034,0.033,31.0,15.4,75.0,1.1,13.0,1.0,2,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-01-03 14:00:00,1.66,0.029,0.04,24.0,16.4,71.0,4.8,14.0,1.0,2,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-01-03 15:00:00,1.37,0.021,0.05,10.0,16.9,69.0,8.7,15.0,1.0,2,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-01-03 16:00:00,1.3,0.022,0.05,10.0,17.2,65.0,8.1,16.0,1.0,2,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-01-03 17:00:00,1.32,0.021,0.051,8.0,17.0,63.0,6.8,17.0,1.0,2,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-03 18:00:00,1.26,0.018,0.047,15.0,15.7,71.0,6.2,18.0,1.0,2,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-01-03 19:00:00,1.16,0.013,0.043,11.0,14.6,70.0,7.9,19.0,1.0,2,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-01-03 20:00:00,1.07,0.01,0.041,8.0,13.7,73.0,8.4,20.0,1.0,2,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-03 21:00:00,1.05,0.01,0.038,3.0,12.7,73.0,8.8,21.0,1.0,2,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-01-03 22:00:00,1.01,0.009,0.04,7.0,11.8,75.0,7.4,22.0,1.0,2,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-01-03 23:00:00,1.87,0.026,0.006,38.0,10.8,79.0,6.6,23.0,1.0,2,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-01-04 00:00:00,0.93,0.005,0.043,3.0,9.9,80.0,6.9,0.0,1.0,3,0.0,1.0,0.0,1.0
2024-01-04 01:00:00,0.93,0.006,0.041,10.918914940207939,9.2,81.0,7.5,1.0,1.0,3,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-01-04 02:00:00,0.99,0.019,0.025,10.0,8.2,85.0,6.3,2.0,1.0,3,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-01-04 03:00:00,1.0,0.019,0.017,10.0,7.2,91.0,4.1,3.0,1.0,3,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-01-04 04:00:00,0.97,0.016,0.018,21.0,6.1,98.0,3.4,4.0,1.0,3,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-04 05:00:00,1.0,0.017,0.016,17.0,5.7,99.0,3.3,5.0,1.0,3,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-01-04 06:00:00,1.08,0.024,0.008,20.0,5.2,99.0,2.6,6.0,1.0,3,1.0,6.123233995736766e-17,0.0,1.0
2024-01-04 07:00:00,1.26,0.025,0.007,23.0,4.8,99.0,3.4,7.0,1.0,3,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-04 08:00:00,1.52,0.024,0.008,20.0,4.8,97.0,2.9,8.0,1.0,3,0.8660254037844387,-0.4999999999999998,0.0,1.0
2024-01-04 09:00:00,1.58,0.026,0.007,29.0,4.4,100.0,2.6,9.0,1.0,3,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-01-04 10:00:00,1.58,0.025,0.008,30.0,4.2,100.0,2.7,10.0,1.0,3,0.49999999999999994,-0.8660254037844387,0.0,1.0
2024-01-04 11:00:00,1.41,0.022,0.011,26.0,4.2,99.0,3.0,11.0,1.0,3,0.258819045102521,-0.9659258262890682,0.0,1.0
2024-01-04 12:00:00,1.47,0.022,0.013,15.0,4.2,100.0,4.6,12.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,1.0
2024-01-04 13:00:00,1.53,0.022,0.014,12.0,4.7,100.0,3.1,13.0,1.0,3,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-01-04 14:00:00,1.54,0.026,0.012,13.0,5.4,100.0,1.1,14.0,1.0,3,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-01-04 15:00:00,1.49,0.026,0.012,21.0,5.7,100.0,4.8,15.0,1.0,3,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-01-04 16:00:00,1.53,0.03,0.009,15.0,6.3,100.0,3.6,16.0,1.0,3,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-01-04 17:00:00,1.5,0.032,0.007,13.0,7.7,100.0,3.3,17.0,1.0,3,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-04 18:00:00,1.64,0.033,0.006,16.0,7.8,100.0,2.9,18.0,1.0,3,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-01-04 19:00:00,1.57,0.028,0.008,14.0,7.4,100.0,2.2,19.0,1.0,3,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-01-04 20:00:00,1.59,0.029,0.006,17.0,7.8,99.0,3.7,20.0,1.0,3,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-04 21:00:00,1.56,0.028,0.006,20.0,8.0,97.0,8.0,21.0,1.0,3,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-01-04 22:00:00,1.51,0.027,0.006,19.0,8.0,99.0,8.4,22.0,1.0,3,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-01-04 23:00:00,0.95,0.007,0.041,3.0,8.1,99.0,10.2,23.0,1.0,3,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-01-05 00:00:00,1.27,0.02,0.011,23.0,8.1,100.0,11.2,0.0,1.0,4,0.0,1.0,0.0,1.0
2024-01-05 01:00:00,1.29,0.021,0.011,31.0,9.0,97.0,9.1,1.0,1.0,4,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-01-05 02:00:00,1.11,0.013,0.022,24.0,9.6,94.0,8.3,2.0,1.0,4,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-01-05 03:00:00,1.06,0.01,0.027,19.0,9.9,92.0,8.3,3.0,1.0,4,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-01-05 04:00:00,1.03,0.009,0.03,9.0,10.1,90.0,8.4,4.0,1.0,4,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-05 05:00:00,1.08,0.01,0.023,10.0,9.5,90.0,8.4,5.0,1.0,4,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-01-05 06:00:00,1.12,0.011,0.02,14.0,9.2,89.0,8.0,6.0,1.0,4,1.0,6.123233995736766e-17,0.0,1.0
2024-01-05 07:00:00,1.19,0.013,0.015,17.0,8.4,88.0,8.2,7.0,1.0,4,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-05 08:00:00,1.17,0.016,0.016,15.0,9.6,84.0,9.7,8.0,1.0,4,0.8660254037844387,-0.4999999999999998,0.0,1.0
2024-01-05 09:00:00,1.25,0.016,0.02,18.0,11.9,75.0,9.3,9.0,1.0,4,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-01-05 10:00:00,1.28,0.018,0.027,14.0,13.0,70.0,8.1,10.0,1.0,4,0.49999999999999994,-0.8660254037844387,0.0,1.0
2024-01-05 11:00:00,1.38,0.021,0.034,18.0,14.1,61.0,4.8,11.0,1.0,4,0.258819045102521,-0.9659258262890682,0.0,1.0
2024-01-05 12:00:00,1.51,0.025,0.037,18.0,15.2,56.0,1.8,12.0,1.0,4,1.2246467991473532e-16,-1.0,0.0,1.0
2024-01-05 13:00:00,1.54,0.022,0.047,15.0,16.1,54.0,5.8,13.0,1.0,4,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-01-05 14:00:00,1.37,0.019,0.051,14.0,17.0,51.0,6.9,14.0,1.0,4,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-01-05 15:00:00,1.4,0.02,0.054,18.0,17.2,50.0,8.4,15.0,1.0,4,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-01-05 16:00:00,1.37,0.02,0.055,14.0,17.0,49.0,9.3,16.0,1.0,4,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-01-05 17:00:00,1.52,0.027,0.044,12.0,16.4,50.0,7.2,17.0,1.0,4,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-01-05 18:00:00,1.67,0.032,0.039,10.0,15.0,63.0,3.6,18.0,1.0,4,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-01-05 19:00:00,1.67,0.034,0.031,13.0,15.5,55.0,3.0,19.0,1.0,4,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-01-05 20:00:00,1.64,0.035,0.022,11.0,15.5,54.0,2.5,20.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-01-05 21:00:00,1.7,0.038,0.018,13.0,15.1,55.0,1.3,21.0,1.0,4,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-01-05 22:00:00,1.46,0.029,0.022,10.0,14.9,52.0,1.4,22.0,1.0,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-01-05 23:00:00,1.32,0.021,0.011,18.0,14.6,51.0,2.3,23.0,1.0,4,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-01-06 00:00:00,1.69,0.024,0.009,18.0,13.9,52.0,2.4,0.0,1.0,5,0.0,1.0,0.0,1.0
2024-01-06 01:00:00,1.6,0.013,0.011,24.0,13.6,52.0,2.8,1.0,1.0,5,0.25881904510252074,0.9659258262890683,0.0,1.0
